Level,Source,Version,Corpus
Hall of Heroes,Sir Daniel Fortesque,Final,Not too good!
Hall of Heroes,Sir Daniel Fortesque,Final,Great!
Hall of Heroes,Sir Daniel Fortesque,Final,Yes please!
Hall of Heroes,Sir Daniel Fortesque,Final,Huh.. what...me?
Hall of Heroes,Sir Daniel Fortesque,Final,Oh no...
Hall of Heroes,Sir Daniel Fortesque,Final,Get on with it!
Hall of Heroes,Sir Daniel Fortesque,Final,I'll show you!
Hall of Heroes,Sir Daniel Fortesque,Final,Gulp!
Hall of Heroes,Sir Daniel Fortesque,Final,You were!?
Hall of Heroes,Sir Daniel Fortesque,Final,Watch it!
Hall of Heroes,Sir Daniel Fortesque,Final,No I do not!
Hall of Heroes,Sir Daniel Fortesque,Final,Tell me about it!
Inside The Asylum,The Town Mayor,Final,"By 'eck, am I glad to see you! That Zarok tried to force me to hand over the Shadow Artefact – he means to release the Demons from their tomb under the Enchanted Forest. But I said to him, I said “You can't touch me, you lanky windbag, I'm the mayor”. Aye, that told him... But then he had me locked up in here with all these nutters. Oh, it's been terrible – I haven't managed to get a word of sense out of anyone in weeks!"
Inside The Asylum,Sir Daniel Fortesque,Final,(mumble) Tell me about it!
Inside The Asylum,The Town Mayor,Final,"Right, well I'll see myself out, thanks. You have a good look around, lad, Zarok's left some stuff lying about that I think you might find useful."
Inside The Asylum,Sir Daniel Fortesque,Final,(mumble) Great!
Intro,Narrator,Final,"The History of Gallowmere

In a time long ago there lived in the kingdom of Gallowmere a sorcerer named
Zarok. This arrogant, pitiless man hated his fellow citizens for their simple
and peaceful ways, so he raised an army of demons and set out to take the realm
for his own.

The King's champion, Sir Daniel Fortesque, let the militia in the battle
against this unholy horde. Songs are still sung of how he spearheaded the
charge deep into the accused multitude, how demons fell before him like wheat
before the scythe, and how at last though mortally wounded, he destroyed the
sorcerer utterly.

Fortesque went down in history that day as the Hero of Gallowmere, and a time
of peace began which was to last for a hundred years.

And then the sorcerer returned..."
Pools Of The Ancient Dead,Book,Final,Weapons are useless against the heavy armor of the knights. Don't let them shove you in the swamp - that mud will never come out.
Pools Of The Ancient Dead,Book,Unused,Do you have the Jump Potion? It gives you an enhanced physical ability. You will need it to progress through this festering land.
Pools of the Ancient Dead,Gargoyle,Final,"Cold and dark and reeking of death. We remembers an ancient battle fought here, between the forces of good and the dark armies of Zarok! Now the marshes are full of the restless dead."
Pools of the Ancient Dead,Boat Man,Final,"Greetings stranger, I am the Boat Man – it is I who ferry lost souls on their final journey to the Land of the Dead. But hold, have we not met before? Sir Daniel Fortesque! Not you too? Thanks to Zarok's meddlings I'm up to my eye sockets in lost souls who've woken from the eternal sleep – business hasn't been this brisk since before they invented sanitation."
Pools of the Ancient Dead,Boat Man,Final,How gracious of you! Makes a change to meet a polite young skeleton after dealing with those filthy zombie types! Hop aboard.
Pools of the Ancient Dead,The Boat Man,Final,"If you bring me eight lost souls, I'll ferry you to the sunken town of Mellowmede."
Pools of the Ancient Dead,The Boat Man,Final,You've come back without all the souls; I'm too old to be roaming battlefields like this!
Pumpkin Gorge,Book,Final,Up and down these magical mushrooms go! They will take you higher and higher but be careful not to fall and sink without a trace.
Pumpkin Gorge,Gargoyle,Final,"All bow down before the master of the vegetable patch, the prize-winning plant who can summon an army of cabbage with a wave of his noble tendril. He's delicious, he nutritious, he's Zarok's secret recipe – he's the Pumpkin King!"
Return to the Graveyard,Book,Final,"Who's a clever skeleton then? Remember that there are many more secret areas like this throughout the land of Gallowmere, some offering more than just treasure!"
Return to the Graveyard,Book,Final,"The living world lies beyond these Skull Gates. The Master of the Hilltop Mausoleum, the Stained Glass Demon has possession of the Skull Key."
Return to the Graveyard,Book,Final,Want to be faster on your feet? Want to be able to bash down walls by charging into them? All you have to do is defeat the evil Guardians of the Graveyard and gain this new ability! You will never know why you left the grave without it!
Return to the Graveyard,Book,Unused,I heard you defeated the evil Glass Demon!? Not bad for a dead guy!
Return to the Graveyard,Book,Unused,"Dan, I'm flattered, but perhaps you should be attending to those hungry wolves!"
Return To The Graveyard,Gargoyle,Final,"All changed outside the Necropolis, path go this way, path go that way... Nasty painful death waits around every turn and over every hill. Bon voyage!"
Scarecrow Fields,Book,Final,The scarecrows are almost unstoppable so don't be a hero! Try trapping them while you make your escape.
Scarecrow Fields,Book,Final,Beware of mischief makers in metal machines! Who knows what dark sorcery brings their metal limbs to life! It would be good to see the back of such menaces!
Scarecrow Fields,Book,Final,Kul Katura the Serpent Lord yearns to fight along side you but has been captured by Zarok and scaled within a Chest. Free this mighty Spirit and earn a powerful ally!
Scarecrow Fields,Book,Final,Death waits in the cornfield. Pick your route carefully and do not linger in the corn.
Scarecrow Fields,Book,Final,"These fields are home to many mad machines, yet the most bizarre of them is housed within this barn."
Scarecrow Fields,Book,Final,The Corn cutting machine is missing a part. A cog fell off this miracle of modern agriculture and it hasn't worked since.
Scarecrow Fields,Gargoyle,Final,"Pumpkin Gorge dead ahead, the nursery to Gallowmere's favorite side dish. Step inside and understand the true horror of fruit gone bad!"
The Ant Caves,Book,Final,This magic portal was crafted by the faeries. It appears to have been crafted to prevent something escaping from the tunnels below.
The Ant Caves,Book,Final,"If you are brave enough to go beyond this point you will enter the chamber of the dreaded Queen Ant.
Be aware, once you have encountered her six-legged regalness there will be no going back!"
The Ant Caves,Witch of the Forest,Final,"Ooh, lovely, lovely amber. Here you are Sir Knight, a wart covered and cabbage smelling old crone I may be but I always keep my promises: I grant you my reward!"
The Ant Caves,Creature,Final,You have helped to free all the fairy people from the clutches of the filthy ant scum. As a reward I can grant you passage to the Hall of Heroes. I've never been there myself but I've heard they've got a free bar.
The Ant Caves,Witch of the Forest,Final,"What's this? I said seven pieces of amber. No reward for you, you useless squirt!"
The Asylum Grouds,Book,Final,"This is the garden of Zarok, nothing here is as it first seems. To leave this maze you must first seek out the one called Jack of the Green!"
The Asylum Grouds,Book,Final-US,Show the Clown you care by surrounding him with smiles.
The Asylum Grouds,Book,Final,"Solve this last puzzle and you will open the secret entrance to the asylum - the Town Mayor is imprisoned here, along with an army of madmen."
The Asylum Grounds,Jack of the Green,Final,"Greetings Sir Fortesque, my name is… Jack of the Green. I am master of riddles and this maze is my domain. You are free to leave but ONLY once you've answered four riddles – puzzles so fiendishly difficult, so perplexity complex that no man has ever solved them – ha, ha, ha, ha. Now try my first riddle…"
The Asylum Grounds,Jack of the Green,Final,"Well done, Sir Knight. But my Star Riddle was but a trifle – I always like to begin with an easy one. Return hither – you will not find my next conundrum so simple!"
The Asylum Grounds,Jack of the Green,Final,"I live for laughter, I live for the crowd, Without it I am nothing."
The Asylum Grounds,Jack of the Green,Final,"All right, yes it was a clown – very clever I'm sure. Return in haste, Sir Knight, for I wish to see the despair on your face when you hear my next cryptic puzzler."
The Asylum Grounds,Jack of the Green,Final,"Face like a tree, Skin like the sea, A great beast I be, Yet vermin frighten me!"
The Asylum Grounds,Jack of the Green,Final,"Did you spot my bluff? I pretended that riddle was hard but truth it was obviously an elephant. This time, however, I almost pity you: the answer to my next vexing enigma has eluded the finest mind of a whole generation. Come to me!"
The Asylum Grounds,Jack of the Green,Final,"I tolerate the moon and stars, I can't abide the sun, Banish me with torch And you'll see me turn and run."
The Asylum Grounds,Jack of the Green,Final,"Blast you! It took me ages to come up with that Darkness one! Very well, outrageous as it seems, my vast intellect has been matched by your badly decomposed brain. Return at once and I shall give you your prize."
The Asylum Grounds,Jack of the Green,Final,"You think you're so clever don't you? Here you are Sir Clever Clogs, I grant you free passage through my maze – find your own way out!"
The Asylum Grounds,Jack of the Green,Final,At night they come without being fetched; By day they are lost without being stolen.
The Crystal Caves,Book,Final,Tread softly in these caves for an ill tempered Dragon has a lair here.
The Crystal Caves,Book,Final,"The mean old Dragon can be summoned by inserting two Dragon Gems into the eye sockets of the relief.
The grouchy Dragon doesn't come out much as he is afraid of the roof collapsing over his head!"
The Crystal Caves,Gargoyle,Final,"The ancient town of Mellowmede was destroyed by creatures known as Rhinotaurs. They live on still but in a state of hibernation deep within these Caverns, they use the Crystals to prolong their worthless hides."
The Crystal Caves,Dragon,Final,"Who dares to enter my lair and wake me from my slumber? Aha! Prepare yourself, little man, I shall roast the flesh from your bones... (sees that Dan is a skeleton) Oh, um... I see... In that case... I will pluck out both of your eyes… (notices that Dan has only one eye) ah… oh, great... I'm... I'm just going to give you a good hiding!"
The Crystal Caves,Dragon,Final,"Urghh... Enough... I yield! That really hurt. What did you have to go and do that for? Here, take this Dragon Potion and leave me alone! Drink it when you need it – it gives you armour that is impervious to heat, plus it lets you breathe fire. Now go away!"
The Enchanted Earth,Book,Final,"There used to be a Coven of Witches in the caves beneath Cemetery Hill, the whole forest's never smelt the same since."
The Enchanted Earth,Book,Final,Like a giant Magpie the Dragon Bird sits upon its hoard of stolen treasures. High above the trees you will find a nest; those Eggs are worth their weight in gold!
The Enchanted Earth,Book,Final,Keep out! This gate leads to the tomb of the Shadow Demons.
The Enchanted Earth,Book,Final,"Sir Dan you must take the Shadow Demon Talisman!
It is an unholy relic but it may allow you to progress through the Shadow Demon territory."
The Enchanted Earth,Book,Unused,Many Merchant Gargoyles have been trapped in this mossy place.
The Enchanted Earth,Book,Unused,"Want to be faster on your feet? Want to be able to bash down walls by barging into them?
Then use the Witch Talisman and summon forth the Forest Witch and gain this new ability, you will never know why you left the grave without it!"
The Enchanted Earth,Witch of the Forest,Final,"Who has summoned the Witch of the Forest? Oh, it is you, Sir Fortesque. Forgive me my lord I have never met a REAL hero… Ha ha ha haa haa haaa haaaaa cackle cackle cackle!!!"
The Enchanted Earth,Sir Daniel Fortesque,Final,(mumble) Get on with it!
The Enchanted Earth,Witch of the Forest,Final,"Ahem, forgive me, just an old lady's little joke. In truth I am glad to see you Sir Fortesque: I need 7 pieces of amber that are hidden in the Ants' nest. Bring them to me and I can grant you a special reward! I will only offer you this quest this once. Are you willing to give it a try?"
The Enchanted Earth,Witch of the Forest,Final,"Sorry, didn't I mention I'd have to shrink you to the size of an insect? Now hurry back…"
The Enchanted Earth,Gargoyle,Final,"Run little man! If the master found it now he would crush it like a bug! Ha ha ha! Hark, we can hear the soldier ants approaching – onward and meet you tiny nemesis."
The Enchanted Earth,Creature,Final,"Thank you for releasing me, Sir. My people wish only to live our lives in blissful harmony with nature, but alas the wicked Ant Queen has many of us imprisoned. Rescue my people, Mr. Fortesque, and you will be richly rewarded."
The Enchanted Earth,Creature,Final,"Here we are, I shall open the entrance for you… These fireflies are my friends; they will light your way through the darkness below."
The Enchanted Earth,Sir Daniel Fortesque,Final,(mumble) Get on with it!
The Enchanted Earth,Witch of the Forest,Final,"Bless me, if it isn't Daniel, Lord of the Ants. Hold still and I'll remove the shrink spell…"
The Enchanted Earth,Gargoyle,Final,"None shall enter. The Shadow Demons are entombed within, separated from the world of goodness and light until the earth cracks open. No one, not even the dark lord Zarok, can release them without the Shadow Artefact. Leave now or share their doom."
The Enchanted Earth,Gargoyle,Final,What have you done? Once again the Shadow Demons are wreaking havoc across the land – and it's all thanks to you! The single most destructive and wretched creatures in the history of the world and you've given them an early parole. They will be heading for the ruins of King Peregrin's Castle – Gallowmere is doomed!
The Enchanted Earth,Witch of the Forest,Final,"What? Hurry along then, there must be loads more adventures you could be ducking out of."
The Enchanted Earth,Sir Daniel Fortesque,Final,(mumble) Grumble...grumble... what have you done to me?
The Entrance Hall,Book,Final,"Those mischievous Imps have been at Zarok's spell books again. They're shielded by magic, the naughty creatures!"
The Entrance Hall,Book,Final,"SPELL BOOK

Contents
Raising the dead - pg5
Putting a town to sleep - pg71
Looking good for the over 400s - pg136
Robbing people of their free will - pg207
Summoning demons - pg268
Card tricks - pg298"
The Entrance Hall,Book,Final,"The Secret Diary of Zarok

100 years I've spent in exile, using my anger to keep me warm, feeding off my suffering, relaxing with my angst. But soon they will pay, all of them - including Fortesque. He thwarts my first plan to conquer Gallowmere and then posthumously claims to have killed me! When I find him I'm going to get medieval on his bony behind. I never liked him anyway, always hanging around the court, interfering: 'Where are you going with that dead cat, Zarok', 'Where did you find that brain, Zarok?'. Wretched busybody."
The Entrance Hall,Gargoyle,Final,"Sir Daniel Fortesque! Standing bold as you like in the foyer of Zarok's castle – who'd have thought it. Not us that's for sure. We's afraid the Master of the House is out trying to plunge the land into eternal night, but come on in and make yourself at home!"
The Gallows Gauntlet,Book,Final,"Take care not to wake the Serpent of Gallowmere. It is a most powerful supernatural creature that was bound somewhere withing these chasm walls. If you encounter it, RUN!"
The Gallows Gauntlet,Book,Final,This magical barrier was constructed by the Dragons of old. Only those brave enough to adorn the Dragon Armor may pass through this fiery gate way.
The Gallows Gauntlet,Book,Final,The fabled Dragon Armor was forged by Dragons from an age long ago. Seek out any remaining Dragons if you are to claim this mighty armor.
The Gallows Gauntlet,Book,Final,Unable to pass through the fiery Dragon Gate? Only use this alternative route if no other is available and return to the map of Gallowmere.
The Gallows Gauntlet,Book,Unused,If you can't reach get to the Merchant Gargoyles and you're running low on ammo then try hit and run tactics.
The Ghost Ship,Book,Final,Most of the crew seem to be under the control of a few officers - without them they'd be like headless chickens...
The Ghost Ship,Book,Final,"The Ghost Ship Captain is as tough as old sea boots!
You will need something a little more powerful than the weapons in your inventory to knock him overboard!"
The Ghost Ship,First Mate,Final,"Captain, I thought you ought to know we have a stowaway on board, I've told the men to scour the decks for him."
The Ghost Ship,Captain,Final,"Good, I want that scurvy dog dangling from yon yardarm by his bowels!"
The Ghost Ship,First Mate,Final,Is that really necessary? Couldn't we just give him a good tongue lashing and drop him off at the next port?
The Ghost Ship,Captain,Final,"Look, there's not a man jack on this ship who wouldn't keelhaul his own grandmother for the silver in her hair – there'll be no tongue lashing! Bring the landlubber to me an' I'll tear 'im a new orifice!"
The Graveyard,Book,Final,"Welcome back to your beloved Gallowmere. The stinking dead have risen up to dance with the lifeless living, and they want to do it over your dead body."
The Graveyard,Book,Early,"Welcome back to your beloved Gallowmere - the stinking dead have risen up to dance with the lifeless living, and they want to do it over your dead body."
The Graveyard,Book,Final,Don't let zombies get you down. Tend those wounds by stepping into this fountain of rejuvenation.
The Graveyard,Book,Final,"Remember, nothing remains hidden under the gaze of an angel."
The Graveyard,Book,Final,"The object here is the chalice. Every time you dispatch an enemy the chalice fills a little more. Once the Chalice is full it is yours to collect and you will be worthy of visiting the sacred Hall of Heroes to claim a prize!
There is a Chalice to be found in every region of Gallowmere. They are all hidden or well guarded - only a true hero will collect the full set."
The Graveyard,Book,Final,"The living world lies beyond these Skull Gates. The Master of the Hilltop Mausoleum, the Stained Glass Demon has possession of the Skull Key."
The Graveyard,Book,Early,"Shoo! Away with you! The living world lies through this way. But the gates is locked. No key, no open."
The Graveyard,Book,Unused,If you have gold you can purchase items from the greedy Merchant Gargoyles. The shameless profiteers can be recognised by their long blue stony faces.
The Graveyard,Book,Unused,If you have gold you can purchase items from my greedy brethren; the Merchant Gargoyles. The shameless profiteers can be recognised by their long blue stony faces.
The Graveyard,Book,Unused,Hey dead man is that a bone in your pocket?! To look at your inventory press SELECT.
The Graveyard,Book,Unused,"Loosen up those bone dry limbs and explore, you never know what you may find."
The Graveyard,Book,Unused,"Hey Book worm, yes: the one living in your empty eye socket, remember to keep up on your reading!"
The Graveyard,Gargoyle,Final,"Tread softly – Zarok awaits beyond these Gates! The master meets with the Demon from the Mausoleum, hatching plots of purest evil. Forgotten nobodies would be wise to make themselves scarce!"
The Haunted Ruins,Book,Final,Since the Farmers have been captured by the Shadow Demons the animals here have gone hungry.
The Haunted Ruins,Book,Final,"The Farmers are being held in the courtyard.
At the first sign of trouble the Shadow Demons will sacrifice the captives to the flames. Move quickly, slay the demons on guard and release the farmers."
The Haunted Ruins,Book,Final,Long ago this was once the majestic Throne room of King Peregrin. Now foul demons stalk the corridors. The spirit of the King must be saddened indeed.
The Haunted Ruins,Book,Final,Sometimes the ghost of King Peregrin can be seen wandering these halls or sitting mournfully upon his throne. Find his crown and perhaps you can summon him.
The Haunted Ruins,Book,Final,The castle was constructed on top of a dormant volcano. This great flood gate is all that stands between you and a very hot shower.
The Haunted Ruins,Book,Final,"Hurry - the castle is about to be destroyed! The gates are locked, find an alternative means of travel!"
The Haunted Ruins,Book,Final,Hot scalding Oil! Burn your skeletal toes that will! Better find a way to close the oil vents before crossing.
The Haunted Ruins,Book,Unused,The old castle of King Peregrin has fallen into the hands of the Shadow Demons.
The Haunted Ruins,Gargoyle,Final,Welcome to Castle Peregrin. In the time of King Peregrin this magnificent edifice was the seat of power and home to the royal household. Now it is home only to ghosts and forgotten memories.
